Sentiment,Class
song could explain emotions subjects better jay adams unfortunate life subject talk song old man neil young played evokes many emotions,1
cinematography film shot interesting way,1
course footage grainy enhanced film,1
film offers many delights surprises,1
achille philippa beautifully sing duet giovanni perfectly describes situation movie appreciate subtle layers excellent film,1
story unfolds th century jutland use period music played period instruments one fine touch,1
share general loewenhielms exquisite joy partaking cailles en sarcophage even though watching movie wish small sample savor,1
understated film leaves lasting impression,1
warmth generates contrast austere backdrop,1
leave theater wanting go dance stars,1
acting would expect cast top notch,1
characters fleshed surprisingly well particularly grimes blake actors deliver sharply scripted lines right amount deadpan tongue cheek make dialogue hilarious realistic,1
angus scrimm also turns good performance somewhat brief memorable role gently menacing violinplaying anatomist doctor quinn,1
conclusion loved,1
long time since entertained movie,1
struggle find anything bad say,1
mark words one cult films like evil dead phantasm people still discovering falling love years line,1
pretty surprising wonderful film made hollywood generally collective heads sand concerning black white issues time,1
film deserves strong kudos taking stand exceptional acting mostly lesserknown cast superintelligent script insult audience take easy way comes white racism,1
plus movies rather modest budget fast running time amazing job,1
juano hernandez exceptional actor played supporting roles many films era proud black man accused murdering white man south,1
trumbull love lucy,1
see kids chanceit open amazing dialog far race relations come last years,1
see films,1
year however reminded us huston still top game evinced faithful adaptation james joyces acclaimed novella dead,1
feelings thoughtsgabriels discomfort danceall intangibles leap life come within viewers grasp hustons portrayal,1
disappointed wondered could oscar shortlist,0
slow,0
lot holes plot nothing became emperor nothing spend years childhood mature age,0
waste time,0
end days one worst bigbudget action movies ever seen,0
surely know make coherent action movie screenwriter air force one obliged write script big sum money,0
one worst films ever seen,0
still trying get bad,0
movie possibly one creative works horror ever,1
everything could want suspense drama comedy confusing subplots native americans brain eating looking beall endall brainsucking movies look,1
great sound effects impressive special effects cannot recommend movie enough call nut think one best movies ever great character actors telly savalas peter boyle hour minutes sheer tedium melodrama horrible acting mess script sinking feeling good lord thinking lots holes script like bad two hour tv movie imagine every single one decisions made wrong dialogue atrocious acting beyond abysmal everything stinks trouble writing directing make impossible establish things make movie watchable like character story theme worse incredibly weak subplot thrown follows little band latterday mansonites go reporter working story anniversary killings dumb pointless complete waste time short bother movie spoil ending pretty amazing best scene movie end spoil ever indication writer directors ability meld two highly volatile temperaments seamless union creativity result powerhouse achievement made timely perhaps cultures disturbing fascination celebrity distorted interpretations fame film easily forgotten kevin spacey excellent verbal tsunami buddy ackerman totally believable great actor scripting subtle comedy unmatched movie recent years characters interesting even bit predictable highly recommended ages although younger set probably appreciate subtle references certainly appreciate one galley scene particular great movie also story acting weak around pm bought around pm started watch around pm fast forwarded remaining film see anything left watchable human brain either way sucks script horrendously stupid story starts fast absolutely suspense buildup slightest everything captain says either laughable plain stupid hell kind crap plot holes could drive semi truck holes linda cardellini thing good film poised amazing dee snider plain sucks cannot act one least scary villains ever seen cannot write write damn movie sleep bored throughout whole damn thing acting sucks music sucks script sucks pacing sucks special fx suck directing sucks basically movie sucks film tries serious sophisticated thrillerhorror flick fails miserably probably one least effective utterly unoriginal films ever seen entire life piece cinematic garbage captured celluloid avoid costs rate film stinks funny fulci stayed giallo supernatural zombie movies avoid film costs know happened season five mess consistent thread holding series together amazing performances leni parker anita laselva two taelons quiet idealogical conflict movie really dislike one boring horror movies mainly starts slow centers boring atmosphere puppets look really cheesy good way like puppet master flicks story lame interesting never really explains sinister origins puppets death scenes like previous movies fx terrible felt asleep first time watched recommend insomniacs fact film wonderful heartwarming tale two people chasing dreams best part nurse betty unpredictability,1
director neil labute uses brutal violence seperate dreams reality along touching drama hilarious comedy never tell going happen next,1
otherwise even waste time,0
one fails create real suspense,0
killer expect anything original even remotely frightening,0
however pretty good acting least type film,1
sorry really cannot recommend anyone,0
one boringpointless movies ever seen,0
secondary plot line incomprehensible relation primary plot line mystifying,0
hated,0
one worst sandra bullock movie since speed quite bad,0
understand garbage got shelves movie store even real movie,0
highly doubt anyone could ever like trash,0
moviemaking,0
acting like watching wooden puppets moving around reading book bad,0
warn youdo rent movie dumbest thing never seen,0
saw short film hbo day absolutely loved,1
realize wonderful short really last two scenes,1
excellent short film,1
hopefully director james cox turn short feature length film cast win us whole new film,1
agree jessica movie pretty bad,0
characters onedimensional even good guys especially bad guys,0
story line totally predictable,0
much dialogue much music whole film shot elaborately aesthetically like sculpture,1
seen soap operas intelligent movie,0
bad characters bad story bad acting,0
really awful,0
easy watch,0
funny clever hip like prays previous film hype,1
long time see charismatic actor screen,1
paolo sorrentino written wonderful story loneliness tony built one unforgettable characters seen movies recent years,1
movie completely perfect titta di girolamo stay long time vision movie,1
rate movie,1
know emilio estevezs directorial debut pacing interplay development characters well clever camera work surrounding character estevez plays suggest natural eye,1
interplay martin emilio contains wonderful chemistry saw wall street martin charlie,1
kathy bates wonderful characters subtle desperation escapism variation character play fields lord,1
readers already seen one miyazakis films still top form made another worthwhile experience,1
never condescends characters good genuine hearts believable problems,1
two main characters may two believable children ever saw put screen,1
easy love even easy identify,1
movie greatespecially enjoy visual arts,1
scenery two daughters paint photograph beautiful,1
story also funny poignant times,1
people like european films art movies like movie,1
truly art movieit actually lot art,1
go rent,1
however finally watching film realized closed mind brilliance depicts also found watching,1
one movie never ceases interest simply keeps alert try attempt decipher meanings,1
brilliance indeed,1
liked movies like matrix better yet sequels think appreciate thought provoking mindblowing experience film give,1
think film like dream,1
simply beautiful,1
rickman stowe play roles hilt tale childrens book writer maybe written subversive tract,1
gloriously fun fast paced fairly accurate portrayal night raver,1
presents idyllic yet serious portrayal ups downs characters lives,1
whatever avoid groove antithesis good human traffic,0
bad everyone else involved share crowes level dedication quality wed far better film hands subpar mess,0
movie seemed little slow first,0
picked speed got right point,1
showed exactly government scientist argued humanity reasons gadget,1
enjoyed,1
recommended friends,1
particularly pleased acting ability dwight schultz,1
actors truly understand become particular character delivering convincing sincere performance,1
onscreen chemistry critical entire film genuine,1
films dialogue natural real life,1
writer gorman bechard undoubtedly homework references industry characterage appropriate,1
incredible soundtrack truly captures essence film,1
track commands sentiment actually contributing scenes characters,1
definitely worth seeing sort thought provoking film forces question threshold loneliness,1
hayao miyazakis latest eighth film studio ghibili gake ue ponyo ponyo cliff sea wonderfully fun imaginative look childhood,1
time seems film animation dominated disneypixars cgi masterpieces refreshing comforting know miyazaki still relying traditional handdrawn animation tell charming enchanting stories,1
enough said remarkable animation film,1
art style appearance crayonpencil drawings wonderfully colorful fanciful,1
act film glad going drift away earth far possible,0
one wants surf small wave space movies deep impact armageddon one fails everywhere,0
choked vomit end cheap drama worthless dialogue must bored death waste time,0
still makes super ending depicts great sea vessel taken mighty frost,1
consider excellent story solid acting look film added bonuses,1
instead got bore fest whiny spoiled brat babysitting,0
watched two sundays ago march th began really enjoy time taped entire thing,1
well acted done tv movie,1
judith light one favorite actresses think superb job film,1
keep watching,1
sad movie good,1
seen movie definitely recommend,1
lovely usual cutie,1
still quite interesting entertaining follow,1
recommend confidence,1
movie wellbalanced comedy drama thoroughly enjoyed,1
riot see hugo weaving play sexobsessed gay real estate salesman uses clients houses trysts flaming darren tom hollander,1
anyway plot flowed smoothly malebonding scenes hoot,1
opening sequence gem classic cat n mouse games follow delight watch,1
fans genre heaven,1
lange become great actress,1
looked like wonderful story,1
never walked movie faster,0
got bored watching jessice lange take clothes,0
unfortunately virtue films production work lost regrettable script,0
word embarrassing,0
exceptionally bad,0
slowmoving aimless movie distressed drifting young man,0
